"№ з/п","Повне найменування","Код суб'єкта управління","Назва суб'єкта управління","Організаційна форма cуб'єкта господарювання (зокрема державні підприємства - ДП, господарські товариства з КПД >50% - ГТ)"
"1608","ДЕРЖАВНЕ ПІДПРИЄМСТВО - КОМІНТЕРНІВСЬКЕ ПІДПРИЄМСТВО ПО ПЛЕМІННІЙ СПРАВІ У ТВАРИННИЦТВІ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1609","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРПІВДЕНІНВЕСТЛІЦЕНЗІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1610","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПОЛТАВСЬКИЙ ЦЕНТР З ПРОБЛЕМ ЗАХИСТУ ПРАВ СПОЖИВАЧІВ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1611","ДЕРЖАВНЕ ПІДПРИЄМСТВО НАУКОВО-ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""ПОТЕНЦІАЛ-ЕКО""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1612","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТЕРНОПІЛЬСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1613","ДЕРЖАВНА НАУКОВО-ВИРОБНИЧА ФІРМА ""СТИМУЛ-ЕНЕРГОМЕТРЕСУРС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1614","НАУКОВО-ВИРОБНИЧА ФІРМА ""ТЕХНОЛОГІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1615","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЛІБНА БАЗА №85""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1616","СПОРТИВНИЙ КЛУБ ХАРКІВСЬКОГО ДЕРЖАВНОГО УНІВЕРСИТЕТУ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1617","ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП ""КОЛОДІЇВСЬКИЙ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1618","ДЕРЖАВНЕ ПІДПРИЄМСТВО ФІРМА ""ОРИЗОН-ІНСТРУМЕНТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1619","ДЕРЖАВНЕ ПІДПРИЄМСТВО ФІРМА ""ОРИЗОН-ПРИЛАД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1620","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧЕРКАСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1621","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ІНЖЕНЕРНОЇ ГЕОДЕЗІЇ ""УКРІНЖГЕОДЕЗІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1622","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТОРГОВИЙ ДІМ ""БУКОВИНСЬКА ГОРІЛКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1623","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РЕДАКЦІЯ ЖУРНАЛУ ""ПАМ'ЯТКИ УКРАЇНИ: ІСТОРІЯ ТА КУЛЬТУРА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1624","ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ВИДАВНИЦТВО ""ОСВІТА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1625","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНА НАФТОГАЗОВА ІНСПЕКЦІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1626","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КОНСТРУКТОРСЬКЕ БЮРО СПЕЦІАЛЬНОЇ ТЕХНІКИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1627","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГОТЕЛЬ ""УКРАЇНА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1628","ДЕРЖАВНЕ ПІДПРИЄМСТВО ТЕХНІЧНИЙ КОМІТЕТ З СТАНДАРТИЗАЦІЇ ""БУДІВЕЛЬНІ МАТЕРІАЛИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1629","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВСЕУКРАЇНСЬКИЙ НАУКОВО-МЕТОДИЧНИЙ ТА ДОСЛІДНО-ІНФОРМАЦІЙНИЙ ЦЕНТР АРХІТЕКТУРНОЇ СПАДЩИНИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1630","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНЖЕНЕРНО-ТЕХНІЧНИЙ ЦЕНТР ПО ПІДГОТОВЦІ КАДРІВ ДЛЯ АТОМНОЇ ЕНЕРГЕТИКИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1631","ДЕРЖАВНЕ ПІДПРИЄМСТВО НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР ""ПАТОН-АЗОВМАШ"" ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ. Є.О.ПАТОНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1632","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БУДРЕМСЕРВІС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1633","БУДІВЕЛЬНО-МОНТАЖНЕ ПІДПРИЄМСТВО N1 ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""АКАДЕМБУД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1634","ДЕРЖАВНИЙ ДЕПАРТАМЕНТ - ЦЕНТР ЛИВАРНОГО ВИРОБНИЦТВА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1635","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЕВАСТОПОЛЬСЬКИЙ РЕМОНТНИЙ РАДІОТЕХНІЧНИЙ ЗАВОД ""КОНТАКТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1636","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОВСЬКЕ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1637","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ЦЕНТРАЛЬНА ВІЙСЬКОВА ТУРИСТСЬКА БАЗА ""СЕВАСТОПОЛЬ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1638","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БЛАГОДАТНЕ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1639","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧОРНОМОРСЬКИЙ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1640","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""МУКАЧІВСЬКА ГОСПРОЗРАХУНКОВА ДІЛЬНИЦЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1641","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ДНІПРРЕМБУДСЕРВІС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1642","ДЕРЖАВНЕ ПІДПРИЄМСТВО - ФІРМА ""ОРІЗОН-БЕТА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1643","ШАХТА ""НОВОМИРГОРОДСЬКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1644","МАЛЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО З СЕРТИФІКАЦІЇ СКЛА ТА ВИРОБІВ З НЬОГО ""СКЛОСЕРТИФІКАТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1645","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ""ОРТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1646","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1647","МАЛЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КАМЕЛІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1648","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНТУРИСТ-КІРОВОГРАД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1649","ДЕРЖАВНЕ ПІДПРИЄМСТВО ПОЛТАВСЬКА СПЕЦІАЛІЗОВАНА ""КОНТРОЛЬНО-НАСІННЄВА ЛАБОРАТОРІЯ ПО ЦУКРОВИХ БУРЯКАХ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1650","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПІДГОТОВКИ ТА ПЕРЕПІДГОТОВКИ КАДРІВ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1651","ДЕРЖАВНЕ ТОРГІВЕЛЬНЕ ПІДПРИЄМСТВО КОМБІНАТ ШКІЛЬНОГО ХАРЧУВАННЯ ""ШКОЛЯР"" БУДЬОННІВСЬКОГО РАЙОНУ М.ДОНЕЦЬКА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1652","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДОНЕЦЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ДЕРЖАВНОГО ЗЕМЕЛЬНОГО КАДАСТРУ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1653","КАЗЕННЕ ПІДПРИЄМСТВО ""ПІВДЕННИЙ ЕКОЛОГО-ГЕОЛОГІЧНИЙ ЦЕНТР""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1654","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОРГАН З СЕРТИФІКАЦІЇ АВТОМАТИЗОВАНИХ ТА АВТОМАТИЧНИХ СИСТЕМ УПРАВЛІННЯ ТА УМОВ ПРОЦЕСУ ПЕРЕВЕЗЕНЬ НА ЗАЛІЗНИЧНОМУ ТРАНСПОРТІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1655","ВИДАВНИЦТВО ""ПРАВО""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1656","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1657","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИДАВНИЧО-ПОЛІГРАФІЧНИЙ ЦЕНТР ""ПОЛІГРАФ-КОЛЕГІУМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1658","ДЕРЖАВНЕ ГОСПРОЗРАХУНКОВЕ ПІДПРИЄМСТВО ""УКРІНФОРМЗВ'ЯЗОК""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1659","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РЕМОНТНО-БУДІВЕЛЬНИЙ ТРЕСТ ""РЕМБУДМАТЕРІАЛИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1660","МАРІУПОЛЬСЬКИЙ ФУМІГАЦІЙНИЙ ЗАГІН","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1661","НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ВПРОВАДЖЕННЯ ЕЛЕКТРОГІДРОІМПУЛЬСНИХ АГРЕГАТІВ-НТЦ ""ВЕГА"" ІНСТИТУТУ ІМПУЛЬСНИХ ПРОЦЕСІВ І ТЕХНОЛОГІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1662","ДНІПРОПЕТРОВСЬКЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГОСПРОЗРАХУНКОВА АПТЕКА ДЛЯ ОБСЛУГОВУВАННЯ ОСІБ, ПОТЕРПІЛИХ ВНАСЛІДОК ЧОРНОБИЛЬСЬКОЇ КАТАСТРОФИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1663","ХМЕЛЬНИЦЬКЕ ДЕРЖАВНЕ ЕКСПЕРИМЕНТАЛЬНЕ ПРОТЕЗНО-ОРТОПЕДИЧНЕ ПІДПРИЄМСТВО","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1664","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТРАЛЬНИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ НАВІГАЦІЇ І УПРАВЛІННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1665","НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР ЕЛЕКТРОШЛАКОВИХ ТЕХНОЛОГІЙ ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ. Є.О. ПАТОНА НАН УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1666","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТЕХНІК""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1667","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХАРКІВЦУКОРЗБУТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1668","ДЕРЖАВНЕ ПІДПРИЄМСТВО МАКІЇВСЬКИЙ ВИРОБНИЧО-ТОРГІВЕЛЬНИЙ КОМПЛЕКС","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1669","ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ КОНСТРУКТОРСЬКЕ БЮРО ""ПРИЧАЛ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1670","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР ТЕСТУВАННЯ МОБІЛЬНОЇ ТЕХНІКИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1671","ДЕРЖАВНИЙ КОНЦЕРН ""ЛОРТА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1672","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПІВДЕННЕ УПРАВЛІННЯ 2112""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1673","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРОЕКТНО-КОНСТРУКТОРСЬКЕ БЮРО""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1674","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКА ГОСПРОЗРАХУНКОВА ЕЛЕКТРОМОНТАЖНА ДІЛЬНИЦЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1675","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ВИРОБНИЧИЙ ЦЕНТР ОКЕАНОЛОГІЧНИХ ДОСЛІДЖЕНЬ І ТЕХНОЛОГІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1676","ДЕРЖАВНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""СЕЛЕКЦІЯ-СЕРВІС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1677","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТЕХНІЧНИЙ КОМІТЕТ З СТАНДАРТИЗАЦІЇ ""БУДТЕХНОРМУВАННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1678","ДЕРЖАВНЕ ОБ'ЄДНАННЯ МАТЕРІАЛЬНО-ТЕХНІЧНИХ РЕСУРСІВ ""УКРПОСТАЧПРЕСА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1679","ДЕРЖАВНЕ ІНФОРМАЦІЙНО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ВИДАВНИЦТВО ""ПЕДАГОГІЧНА ПРЕСА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1680","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ФІНПРОМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1681","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УПРАВЛІННЯ ПО БУРІННЮ ТЕХНІЧНИХ СВЕРДЛОВИН""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1682","УКРАЇНСЬКА ДЕРЖАВНА КОМПАНІЯ З РЕСТРУКТУРІЗАЦІЇ ПІДПРИЄМСТВ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ МІНІСТЕРСТВА ПАЛИВА ТА ЕНЕРГЕТИКИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1683","ДЕРЖАВНА КОМПАНІЯ ""ЛУГАНСЬКЛЕГІНВЕСТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1684","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КРАСНОЛУЧВУГЛЕПОСТАВКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1685","ЕКСПЕРИМЕНТАЛЬНА БАЗА ІНСТИТУТУ ВЕТЕРИНАРНОЇ МЕДИЦИНИ УААН","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1686","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР СИСТЕМ КОНТРОЛЮ ТА АВАРІЙНОГО РЕАГУВАННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1687","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНИЙ ГОСПРОЗРАХУНКОВИЙ НАУКОВО-ДОСЛІДНИЙ КОНСТРУКТОРСЬКИЙ ЦЕНТР ""ВЕКТОР"" ПРИ ІНСТИТУТІ ПРОБЛЕМ МАТЕРІАЛОЗНАВСТВА ІМЕНІ І.М.ФРАНЦЕВИЧА НАНУ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1688","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ КАРТОГРАФО-ГЕОДЕЗИЧНИЙ ФОНД УКРАЇНИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1689","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ЦЕНТР НОРМАТИВНО-ТЕХНІЧНИХ МАТЕРІАЛІВ З ПРАЦІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1690","28 РЕМОНТНО-БУДІВЕЛЬНА ДІЛЬНИЦЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1691","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""КРИМСЬКЕ УПРАВЛІННЯ ВІЙСЬКОВОЇ ТОРГІВЛІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1692","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛЬВІВСЬКЕ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1693","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ ""КРИМВІЙСЬКБУД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1694","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДИМИТРОВСЬКИЙ УЧБОВО-КУРСОВИЙ КОМБІНАТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1695","ДЕРЖАВНЕ ПІДПРИЄМСТВО УПРАВЛІННЯ ПО ПРОФІЛАКТИЦІ, ГАСІННЮ ПОРОДНИХ ВІДВАЛІВ ТА РЕКУЛЬТИВАЦІЇ ЗЕМЕЛЬ ""ЖОВТЕНЬВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1696","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БЮРО З СТАНДАРТИЗАЦІЇ ТА НОРМАТИВНОГО ЗАБЕЗПЕЧЕННЯ НА ЗАЛІЗНИЧНОМУ ТРАНСПОРТІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1697","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРО-ВДМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1698","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГРУПОВА КОТЕЛЬНЯ МІНІСТЕРСТВА ВНУТРІШНІХ СПРАВ УКРАЇНИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1699","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРСПЕЦОБЛАДНАННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1700","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ""СТАНКОСЕРТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1701","ДАРНИЦЬКЕ ДЕРЖАВНЕ ТОРГІВЕЛЬНО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ТРАНС-СЕРВІС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1702","ДЕРЖАВНЕ ПІДПРИЄМСТВО МАГАЗИН ""АКАДЕМКНИГА"" № 7 НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1703","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ЕНЕРГОЗБЕРЕЖЕННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1704","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІЖНАРОДНИЙ ЦЕНТР ЕНЕРГОЕФФЕКТИВНИХ ТЕХНОЛОГІЙ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1705","ДЕРЖАВНЕ ПІДПРИЄМСТВО УКРАЇНСЬКИЙ ДЕРЖАВНИЙ НАУКОВО-ВИРОБНИЧИЙ ЦЕНТР ""КВАНТ-МОДУЛЬ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1706","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР З СЕРТИФІКАЦІЇ ШИН І ГУМОТЕХНІЧНИХ ВИРОБІВ ""СЕПРОШИНАГТВ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1707","ДЕРЖАВНЕ ПІДПРИЄМСТВО УПРАВЛІННЯ МАТЕРІАЛЬНО-ТЕХНІЧНОГО ПОСТАЧАННЯ ""КАЛЬМІУСЬКЕ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1708","ДЕРЖАВНЕ ПІДПРИЄМСТВО КАЛУСЬКА ДЕРЖАВНА РАЙОННА АГРОХІМІЧНА ЛАБОРАТОРІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1709","ЖИТОМИРСЬКЕ ДЕРЖАВНЕ ЕКСПЕРИМЕНТАЛЬНЕ ПРОТЕЗНО-ОРТОПЕДИЧНЕ ПІДПРИЄМСТВО","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1710","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНОЛОГІЧНИЙ ЦЕНТР ПАЛИВНО-ЕНЕРГЕТИЧНИХ РЕСУРСІВ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1711","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ РАДІОЕЛЕКТРОННИХ СИСТЕМ ""КВАНТ-РАДІОЕЛЕКТРОНІКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
